timestamp,state,total_charging_stations,fast_chargers,slow_chargers,charging_sessions,energy_consumed_kwh,grid_load_mw,voltage_v,frequency_hz,transformer_load_percent,renewable_share_percent,hour,day_of_week,ev_population,charger_ev_ratio,peak_hour_flag,overload_risk
2024-01-01 00:00:00,Gujarat,485,164,321,156,2361.2133485531763,7302.751105625409,225.41586578090815,49.99379264098636,54.05124127681236,20.016887501255983,0,0,16523,34.068041237113405,0,Low
2024-01-01 01:00:00,Assam,358,123,235,343,1718.4725168850828,10219.880915038522,237.31189060173008,50.07693574838073,68.10514397142806,6.037809126863709,1,0,26158,73.06703910614524,0,Medium
2024-01-01 02:00:00,Jharkhand,525,180,345,320,3497.2511343428696,8752.231729751096,230.33764102343963,49.928762590689324,66.40215945972419,7.090268572399898,2,0,4390,8.361904761904762,0,Medium
2024-01-01 03:00:00,Gujarat,70,16,54,323,5599.370370926747,10017.824231521916,226.99873074947044,50.04737199105233,68.02096907810945,35.79048619304706,3,0,23983,342.6142857142857,0,Medium
2024-01-01 04:00:00,Gujarat,477,118,359,84,1412.97787907003,4878.659871200119,223.6744044303868,50.05459961321788,37.648590826239435,29.601962570447583,4,0,10192,21.366876310272538,0,Low
2024-01-01 05:00:00,Nagaland,605,204,401,319,4610.996966816578,5540.985381640848,233.92766062249123,50.132800504563605,48.996047376960576,43.00402319051681,5,0,24800,40.99173553719008,0,Low
2024-01-01 06:00:00,Nagaland,102,27,75,266,2301.4715344989627,7011.672582107739,231.620419846974,49.98074588597918,46.20163524168041,49.40991214702328,6,0,2527,24.774509803921568,0,Low
2024-01-01 07:00:00,Haryana,521,79,442,748,10613.480811574229,8701.450176286911,225.8039123838868,49.98453938120744,70.0997669330404,33.04841570724011,7,0,24099,46.2552783109405,0,Medium
2024-01-01 08:00:00,Tamil Nadu,456,129,327,348,4415.031191589757,5201.4525509304485,219.77788489090042,50.053474044309844,46.728913937482616,43.20112209197377,8,0,17912,39.280701754385966,0,Low
2024-01-01 09:00:00,Uttar Pradesh,552,167,385,642,9141.192477317582,4289.83574568282,223.09641487863874,49.985959685423666,39.078137832837214,26.391660043195028,9,0,22903,41.49094202898551,0,Low
2024-01-01 10:00:00,Chhattisgarh,456,123,333,420,3208.714287051841,9935.974993905867,238.11460249670688,50.041186653848754,79.17826754169936,33.095932166020695,10,0,3193,7.00219298245614,0,Medium
2024-01-01 11:00:00,West Bengal,77,14,63,335,5521.6855275916705,5538.415147036918,228.36187408361,49.956920097287586,48.16253481630715,17.24595122230859,11,0,1806,23.454545454545453,0,Low
2024-01-01 12:00:00,Tripura,677,149,528,308,1567.8363306468875,6821.63111804296,222.92314628974793,49.97896773386173,45.52391706745495,20.192682713163258,12,0,35266,52.091580502215656,0,Low
2024-01-01 13:00:00,Uttarakhand,423,81,342,282,2890.4634030987777,3679.8457297628706,225.76991491772148,49.958875531561,31.729176448045905,37.05217654659989,13,0,2136,5.049645390070922,0,Low
2024-01-01 14:00:00,Mizoram,130,26,104,51,588.2761924007351,3401.1512587499255,232.38877049716763,49.987048567763054,22.887365922504056,11.52026924410504,14,0,39059,300.45384615384614,0,Low
2024-01-01 15:00:00,Goa,465,124,341,252,2470.987998057161,4896.719567941982,229.31354498160366,50.07006607823468,44.72791545586537,22.947099910004887,15,0,15587,33.520430107526884,0,Low
2024-01-01 16:00:00,Meghalaya,658,118,540,236,1752.238789906753,3474.2259908833475,238.5330247683923,50.04367947078177,20.064717368798895,28.044187623467643,16,0,11911,18.101823708206688,0,Low
2024-01-01 17:00:00,Gujarat,538,155,383,177,2076.345857563732,9005.570741351296,235.8460382347631,50.043665848454474,62.4615796064321,29.365158822240463,17,0,30806,57.260223048327134,0,Medium
2024-01-01 18:00:00,Gujarat,193,60,133,971,8147.446673884253,10750.57589830547,230.3141229986659,50.02507981826731,85.02937299287916,13.491819875362072,18,0,7900,40.932642487046635,1,High
2024-01-01 19:00:00,Assam,257,84,173,551,5652.491714576247,9655.190691326718,233.2652415552488,50.055134373273134,72.67594711673766,21.75272449527844,19,0,38860,151.20622568093384,1,Medium
2024-01-01 20:00:00,Assam,202,30,172,737,8337.665373109638,6728.569000903732,229.97571527674486,49.980833834686706,45.743547787632295,21.491095306228697,20,0,34486,170.72277227722773,1,Low
2024-01-01 21:00:00,Mizoram,689,181,508,859,9976.926796058433,8141.528327301267,232.69804600791832,49.9250852181314,67.83716664056276,26.90339688317548,21,0,6395,9.281567489114659,1,Medium
2024-01-01 22:00:00,Uttarakhand,76,23,53,1197,16023.453416557619,8640.068417641698,228.1344040517482,50.02517985320724,64.2026751099977,30.74018896441324,22,0,8708,114.57894736842105,1,Medium
2024-01-01 23:00:00,Kerala,269,65,204,95,1604.857521922254,5667.110901788111,232.36618812286773,49.996358554367156,49.93366324053958,43.3854254960312,23,0,690,2.5650557620817844,0,Low
2024-01-02 00:00:00,Rajasthan,210,44,166,177,1742.5524811834075,5904.440267666306,224.261400135875,50.06948014140733,40.98702807651969,18.288076478852243,0,1,1284,6.114285714285714,0,Low
2024-01-02 01:00:00,Haryana,442,128,314,225,2741.99843245563,5255.57100553459,222.24283027954675,49.97447533902112,41.71249855966085,8.671738118010817,1,1,24876,56.28054298642534,0,Low
2024-01-02 02:00:00,Bihar,69,19,50,191,3164.8832637330174,5518.766097960751,226.13587392731213,49.988159069663,43.0939599575194,6.617402320853394,2,1,28812,417.5652173913044,0,Low
